,customer_id,product_id,ppu,order_count,special_price,update_option
398,40,534,4.1,0,TRUE,MANUAL
399,40,547,3.6,0,TRUE,MANUAL
400,40,620,17.8,0,TRUE,MANUAL
401,40,664,4.95,0,TRUE,MANUAL
402,41,23,3.78,0,TRUE,MANUAL
403,41,50,4.9,0,TRUE,MANUAL
404,41,64,2.85,0,TRUE,MANUAL
405,41,81,22.8,0,TRUE,MANUAL
406,41,92,1.15,0,TRUE,MANUAL
407,41,93,1.3,0,TRUE,MANUAL
408,41,111,4.65,0,TRUE,MANUAL
409,41,159,1.25,0,TRUE,MANUAL
410,41,197,3.65,0,TRUE,MANUAL
411,41,241,6.5,0,TRUE,MANUAL
412,41,254,11.5,0,TRUE,MANUAL
413,41,280,3.85,0,TRUE,MANUAL
414,41,297,4.9,0,TRUE,MANUAL
415,41,312,4.85,0,TRUE,MANUAL
416,41,342,6.7,0,TRUE,MANUAL
417,41,348,3.95,0,TRUE,MANUAL
418,41,349,3.6,0,TRUE,MANUAL
419,41,370,8.4,0,TRUE,MANUAL
420,41,373,9.0,0,TRUE,MANUAL
421,41,382,11.99,0,TRUE,MANUAL
422,41,385,9.99,0,TRUE,MANUAL
423,41,386,11.99,0,TRUE,MANUAL
424,41,390,8.8,0,TRUE,MANUAL
425,41,418,4.6,0,TRUE,MANUAL
426,41,481,2.28,0,TRUE,MANUAL
427,41,497,4.5,0,TRUE,MANUAL
428,41,502,4.9,0,TRUE,MANUAL
429,41,522,2.99,0,TRUE,MANUAL
430,41,529,4.1,0,TRUE,MANUAL
431,41,532,3.65,0,TRUE,MANUAL
432,41,553,5.65,0,TRUE,MANUAL
433,41,568,21.5,0,TRUE,MANUAL
434,41,571,21.5,0,TRUE,MANUAL
435,41,634,14.95,0,TRUE,MANUAL
436,41,637,16.8,0,TRUE,MANUAL
437,41,664,4.25,0,TRUE,MANUAL
438,41,694,8.1,0,TRUE,MANUAL
439,41,701,14.5,0,TRUE,MANUAL
440,41,712,8.65,0,TRUE,MANUAL
441,41,717,29.8,0,TRUE,MANUAL
442,44,568,16.5,0,TRUE,MANUAL
443,44,571,24.5,0,TRUE,MANUAL
444,46,23,3.95,0,TRUE,MANUAL
445,48,25,3.98,0,TRUE,MANUAL
446,51,23,3.95,0,TRUE,MANUAL
447,51,209,4.4,0,TRUE,MANUAL
448,51,391,7.8,0,TRUE,MANUAL
449,51,532,4.25,0,TRUE,MANUAL
450,51,650,6.95,0,TRUE,MANUAL
451,51,652,7.45,0,TRUE,MANUAL
452,51,664,3.99,0,TRUE,MANUAL
453,52,23,3.78,0,TRUE,MANUAL
454,52,25,3.98,0,TRUE,MANUAL
455,52,64,2.99,0,TRUE,MANUAL
456,52,68,6.45,0,TRUE,MANUAL
457,52,73,6.2,0,TRUE,MANUAL
458,52,98,5.5,0,TRUE,MANUAL
459,52,111,4.99,0,TRUE,MANUAL
460,52,113,4.75,0,TRUE,MANUAL
461,52,159,1.38,0,TRUE,MANUAL
462,52,168,2.25,0,TRUE,MANUAL
463,52,241,6.2,0,TRUE,MANUAL
464,52,249,5.25,0,TRUE,MANUAL
465,52,254,11.2,0,TRUE,MANUAL
466,52,284,2.0,0,TRUE,MANUAL
467,52,297,4.7,0,TRUE,MANUAL
468,52,355,9.9,0,TRUE,MANUAL
469,52,376,8.2,0,TRUE,MANUAL
470,52,386,9.95,0,TRUE,MANUAL
471,52,397,9.95,0,TRUE,MANUAL
